Date,Departure,Destination,Airline,Price,Departure Time,Arrival Time,Stops,Duration,Flight Type
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Multiple Airlines,1749,17:30,15:50+1,2 stops,29h 20m,Refundable Comfort+
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Multiple Airlines,1757,21:20,15:50+1,2 stops,25h 30m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Multiple Airlines,1801,17:30,15:50+1,2 stops,29h 20m,Economy Light
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Multiple Airlines,1868,05:20,22:15,3 stops,23h 55m,Economy Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Multiple Airlines,1894,05:20,22:15,3 stops,23h 55m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,TAP AIR PORTUGAL,2317,06:30,08:40+1,2 stops,33h 10m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Vueling, Iberia",2543,06:55,21:15,1 stop,21h 20m,Standard
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Egypt Air,2598,11:15,08:00+1,1 stop,27h 45m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2704,00:10,19:00,2 stops,25h 50m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2743,00:10,19:00,1 stop,25h 50m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2743,23:55,19:00+1,1 stop,26h 05m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2743,23:45,19:00+1,1 stop,26h 15m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2743,12:40,08:15+1,1 stop,26h 35m,Standard
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2754,23:55,19:00+1,2 stops,26h 05m,Standard
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2754,23:45,19:00+1,2 stops,26h 15m,Standard
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Etihad Airways,2899,13:40,10:05+1,1 stop,27h 25m,Standard
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,LOT,3059,05:20,20:35,1 stop,22h 15m,Discount
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3070,11:50,08:15+1,1 stop,27h 25m,Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"EL AL, JetBlue",3260,01:00,14:59,1 stop,20h 59m,Classic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,3446,18:25,08:15+1,1 stop,20h 50m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Virgin Atlantic,3532,06:50,21:05,1 stop,21h 15m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Virgin Atlantic,3532,06:50,23:05,1 stop,23h 15m,Eco Special
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,EL AL,3709,03:30,14:10,1 stop,17h 40m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3800,01:00,11:20,1 stop,17h 20m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3818,21:25,11:20+1,1 stop,20h 55m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Delta,3838,11:05,22:24,1 stop,18h 19m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Delta,3838,11:05,23:37,1 stop,19h 32m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,SWISS,3856,05:20,13:05,1 stop,14h 45m,Eco Special
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,SWISS,3856,05:20,16:15,1 stop,17h 55m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,07:20,18:10,1 stop,17h 50m,Eco Special
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,10:30,22:00,1 stop,18h 30m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,05:05,18:10,1 stop,20h 05m,Economy Choice
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,07:20,22:00,1 stop,21h 40m,Economy Choice Plus
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,3867,01:05,13:20,1 stop,19h 15m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,3870,05:15,13:40,1 stop,15h 25m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,3870,07:55,20:25,1 stop,19h 30m,Blue
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Delta,3893,05:15,15:10,1 stop,16h 55m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,United Airlines,3894,11:55,22:21,1 stop,17h 26m,Economy Light
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,3908,05:15,13:40,1 stop,15h 25m,Economy Light
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,3908,07:55,20:25,1 stop,19h 30m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Delta,3917,05:15,15:50,1 stop,17h 35m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Brussels Airlines, United Airlines",3925,01:05,13:20,1 stop,19h 15m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,United Airlines,3927,05:15,13:40,1 stop,15h 25m,Refundable Main
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Lufthansa, United Airlines",3927,05:15,13:40,1 stop,15h 25m,Refundable Comfort+
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,United Airlines,3927,07:55,20:25,1 stop,19h 30m,Refundable Main
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Lufthansa, United Airlines",3927,07:55,20:25,1 stop,19h 30m,Refundable Comfort+
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Condor,3930,05:15,14:05,1 stop,15h 50m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,United Airlines,3948,07:00,15:40,1 stop,15h 40m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Lufthansa, Condor",3992,05:15,14:05,1 stop,15h 50m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,4019,07:00,20:25,2 stops,20h 25m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,4019,07:00,20:25,2 stops,20h 25m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,4019,07:00,20:25,2 stops,20h 25m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,United Airlines,4028,07:00,20:25,2 stops,20h 25m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,United Airlines,4028,07:00,20:25,2 stops,20h 25m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,4043,07:00,20:25,2 stops,20h 25m,Economy Light
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,4060,05:15,15:40,2 stops,17h 25m,Economy Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Lufthansa, United Airlines",4343,07:00,15:40,1 stop,15h 40m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,ITA Airways,4447,09:15,18:50,1 stop,16h 35m,Economy Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Multiple Airlines,1768,21:45,22:15+1,2 stops,31h 30m,Refundable Main
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Multiple Airlines,1794,21:45,22:15+1,3 stops,31h 30m,Refundable Comfort+
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,TAP AIR PORTUGAL,2317,06:30,08:40+1,2 stops,33h 10m,Refundable Premium
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2743,12:40,13:55+1,1 stop,32h 15m,Economy (partially refundable)
